Exp,Round,Item,Condition,Item.Nr,sentences,role,id,partner_id,group_enumeration
0,5,110_2,110,2,"[['some', 'some'], ['some', 'all'], ['some', 'none']]",receiver,2,3,38
0,5,NA_x,NA,x,[],receiver,2,0,39
0,5,NA_x,NA,x,[],receiver,2,0,40
0,5,111_1,111,1,"[['none', 'any']]",producer,3,4,33
0,5,010_3,10,3,"[['some', 'all'], ['none', 'some, but not all'], ['some', 'none']]",producer,3,1,34
0,5,110_2,110,2,"[['some', 'some'], ['some', 'all'], ['some', 'none']]",producer,3,2,35
0,5,111_1,111,1,"[['some', 'none'], ['none', 'some, but not all'], ['some', 'all']]",receiver,3,2,36
0,5,111_1,111,1,"[['some', 'none'], ['some', 'some, but not all'], ['none', 'all']]",receiver,3,1,37
0,5,001_2,1,2,"[['some', 'all'], ['all', 'some']]",receiver,3,4,38
0,5,NA_x,NA,x,[],receiver,3,0,39
0,5,NA_x,NA,x,[],receiver,3,0,40
0,5,010_1,10,1,"[['some', 'some'], ['some', 'all']]",producer,4,1,33
0,5,111_2,111,2,"[['none', 'none'], ['some', 'some'], ['some', 'all']]",producer,4,2,34
0,5,001_2,1,2,"[['some', 'all'], ['all', 'some']]",producer,4,3,35
0,5,111_1,111,1,"[['none', 'any']]",receiver,4,3,36
0,5,011_1,11,1,"[['some', 'all'], ['some', 'some']]",receiver,4,2,37
0,5,001_2,1,2,"[['some', 'all'], ['all', 'some']]",receiver,4,1,38
0,5,NA_x,NA,x,[],receiver,4,0,39
0,5,NA_x,NA,x,[],receiver,4,0,40
0,6,001_1,1,1,"[['some', 'all'], ['all', 'some']]",producer,1,2,41
0,6,100_1,100,1,"[['some', 'all'], ['some', 'some']]",producer,1,3,42
0,6,111_2,111,2,"[['some', 'all'], ['some', 'none']]",producer,1,4,43
0,6,110_1,110,1,"[['all', 'some'], ['some', 'all']]",receiver,1,4,44
0,6,100_3,100,3,"[['all', 'some, but not all']]",receiver,1,3,45
0,6,011_2,11,2,"[['some', 'none'], ['some', 'all']]",receiver,1,2,46
0,6,NA_x,NA,x,[],receiver,1,0,47
0,6,NA_x,NA,x,[],receiver,1,0,48
0,6,110_2,110,2,"[['some', 'all'], ['all', 'some']]",producer,2,3,41
0,6,100_1,100,1,"[['all', 'none']]",producer,2,4,42
0,6,011_2,11,2,"[['some', 'none'], ['some', 'all']]",producer,2,1,43
0,6,001_1,1,1,"[['some', 'all'], ['all', 'some']]",receiver,2,1,44
0,6,001_3,1,3,"[['some', 'none'], ['some', 'all']]",receiver,2,4,45
0,6,010_2,10,2,"[['some', 'all'], ['some', 'none']]",receiver,2,3,46
0,6,NA_x,NA,x,[],receiver,2,0,47
0,6,NA_x,NA,x,[],receiver,2,0,48
0,6,001_1,1,1,"[['some', 'none'], ['some', 'all'], ['some', 'some, but not all']]",producer,3,4,41
0,6,100_3,100,3,"[['all', 'some, but not all']]",producer,3,1,42
0,6,010_2,10,2,"[['some', 'all'], ['some', 'none']]",producer,3,2,43
0,6,110_2,110,2,"[['some', 'all'], ['all', 'some']]",receiver,3,2,44
0,6,100_1,100,1,"[['some', 'all'], ['some', 'some']]",receiver,3,1,45
0,6,100_1,100,1,"[['some', 'all'], ['some', 'none'], ['some', 'some']]",receiver,3,4,46
0,6,NA_x,NA,x,[],receiver,3,0,47
0,6,NA_x,NA,x,[],receiver,3,0,48
0,6,110_1,110,1,"[['all', 'some'], ['some', 'all']]",producer,4,1,41
0,6,001_3,1,3,"[['some', 'none'], ['some', 'all']]",producer,4,2,42
0,6,100_1,100,1,"[['some', 'all'], ['some', 'none'], ['some', 'some']]",producer,4,3,43
0,6,001_1,1,1,"[['some', 'none'], ['some', 'all'], ['some', 'some, but not all']]",receiver,4,3,44
0,6,100_1,100,1,"[['all', 'none']]",receiver,4,2,45
0,6,111_2,111,2,"[['some', 'all'], ['some', 'none']]",receiver,4,1,46
0,6,NA_x,NA,x,[],receiver,4,0,47
0,6,NA_x,NA,x,[],receiver,4,0,48
0,7,100_3,100,3,"[['none', 'any']]",producer,1,2,49
0,7,101_2,101,2,"[['all', 'none']]",producer,1,3,50
0,7,100_2,100,2,"[['all', 'none']]",producer,1,4,51
0,7,001_1,1,1,"[['none', 'any']]",receiver,1,4,52
0,7,001_3,1,3,"[['some', 'none'], ['some', 'some, but not all'], ['some', 'all']]",receiver,1,3,53
0,7,101_1,101,1,"[['some', 'none'], ['some', 'all'], ['some', 'some']]",receiver,1,2,54
0,7,NA_x,NA,x,[],receiver,1,0,55
0,7,NA_x,NA,x,[],receiver,1,0,56
0,7,101_2,101,2,"[['all', 'all']]",producer,2,3,49
0,7,101_3,101,3,"[['some', 'none'], ['none', 'some, but not all'], ['some', 'all']]",producer,2,4,50
0,7,101_1,101,1,"[['some', 'none'], ['some', 'all'], ['some', 'some']]",producer,2,1,51
0,7,100_3,100,3,"[['none', 'any']]",receiver,2,1,52
0,7,100_2,100,2,"[['some', 'some, but not all'], ['all', 'some, and possibly all'], ['some', 'all']]",receiver,2,4,53
0,7,111_3,111,3,"[['all', 'all']]",receiver,2,3,54
0,7,NA_x,NA,x,[],receiver,2,0,55
0,7,NA_x,NA,x,[],receiver,2,0,56
0,7,010_1,10,1,"[['some', 'some'], ['some', 'all'], ['some', 'none']]",producer,3,4,49
0,7,001_3,1,3,"[['some', 'none'], ['some', 'some, but not all'], ['some', 'all']]",producer,3,1,50
0,7,111_3,111,3,"[['all', 'all']]",producer,3,2,51
0,7,101_2,101,2,"[['all', 'all']]",receiver,3,2,52
0,7,101_2,101,2,"[['all', 'none']]",receiver,3,1,53
0,7,011_1,11,1,"[['some', 'all'], ['some', 'some']]",receiver,3,4,54
0,7,NA_x,NA,x,[],receiver,3,0,55
0,7,NA_x,NA,x,[],receiver,3,0,56
0,7,001_1,1,1,"[['none', 'any']]",producer,4,1,49
0,7,100_2,100,2,"[['some', 'some, but not all'], ['all', 'some, and possibly all'], ['some', 'all']]",producer,4,2,50
0,7,011_1,11,1,"[['some', 'all'], ['some', 'some']]",producer,4,3,51
0,7,010_1,10,1,"[['some', 'some'], ['some', 'all'], ['some', 'none']]",receiver,4,3,52
0,7,101_3,101,3,"[['some', 'none'], ['none', 'some, but not all'], ['some', 'all']]",receiver,4,2,53
0,7,100_2,100,2,"[['all', 'none']]",receiver,4,1,54
0,7,NA_x,NA,x,[],receiver,4,0,55
0,7,NA_x,NA,x,[],receiver,4,0,56
1,1,110_2,110,2,[],producer,1,2,1
1,1,010_2,10,2,[],producer,1,3,2
1,1,101_1,101,1,[],producer,1,4,3
1,1,111_3,111,3,[],receiver,1,4,4
1,1,111_3,111,3,[],receiver,1,3,5
1,1,001_3,1,3,[],receiver,1,2,6
1,1,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,7
1,1,NA_x,NA,x,"[['none', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,8
1,1,010_3,10,3,[],producer,2,3,1
1,1,101_3,101,3,[],producer,2,4,2
1,1,001_3,1,3,[],producer,2,1,3
1,1,110_2,110,2,[],receiver,2,1,4
1,1,010_1,10,1,[],receiver,2,4,5
1,1,111_2,111,2,[],receiver,2,3,6
1,1,NA_x,NA,x,"[['some', 'none'], ['some', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,7
1,1,NA_x,NA,x,"[['some', 'all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,8
1,1,001_1,1,1,[],producer,3,4,1
1,1,111_3,111,3,[],producer,3,1,2
1,1,111_2,111,2,[],producer,3,2,3
1,1,010_3,10,3,[],receiver,3,2,4
1,1,010_2,10,2,[],receiver,3,1,5
1,1,100_2,100,2,[],receiver,3,4,6
1,1,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,7
1,1,NA_x,NA,x,"[['some', 'all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,8
1,1,111_3,111,3,[],producer,4,1,1
1,1,010_1,10,1,[],producer,4,2,2
1,1,100_2,100,2,[],producer,4,3,3
1,1,001_1,1,1,[],receiver,4,3,4
1,1,101_3,101,3,[],receiver,4,2,5
1,1,101_1,101,1,[],receiver,4,1,6
1,1,NA_x,NA,x,"[['some', 'all'], ['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,7
1,1,NA_x,NA,x,"[['some', 'all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,8
1,2,111_3,111,3,[],producer,1,2,9
1,2,011_3,11,3,[],producer,1,3,10
1,2,110_1,110,1,[],producer,1,4,11
1,2,001_2,1,2,[],receiver,1,4,12
1,2,100_3,100,3,[],receiver,1,3,13
1,2,110_1,110,1,[],receiver,1,2,14
1,2,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,15
1,2,NA_x,NA,x,"[['none', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,16
1,2,110_2,110,2,[],producer,2,3,9
1,2,111_3,111,3,[],producer,2,4,10
1,2,110_1,110,1,[],producer,2,1,11
1,2,111_3,111,3,[],receiver,2,1,12
1,2,001_3,1,3,[],receiver,2,4,13
1,2,001_3,1,3,[],receiver,2,3,14
1,2,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,15
1,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,16
1,2,100_1,100,1,[],producer,3,4,9
1,2,100_3,100,3,[],producer,3,1,10
1,2,001_3,1,3,[],producer,3,2,11
1,2,110_2,110,2,[],receiver,3,2,12
1,2,011_3,11,3,[],receiver,3,1,13
1,2,010_2,10,2,[],receiver,3,4,14
1,2,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,15
1,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,16
1,2,001_2,1,2,[],producer,4,1,9
1,2,001_3,1,3,[],producer,4,2,10
1,2,010_2,10,2,[],producer,4,3,11
1,2,100_1,100,1,[],receiver,4,3,12
1,2,111_3,111,3,[],receiver,4,2,13
1,2,110_1,110,1,[],receiver,4,1,14
1,2,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,15
1,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,16
1,3,001_1,1,1,[],producer,1,2,17
1,3,001_2,1,2,[],producer,1,3,18
1,3,001_3,1,3,[],producer,1,4,19
1,3,011_1,11,1,[],receiver,1,4,20
1,3,001_2,1,2,[],receiver,1,3,21
1,3,010_1,10,1,[],receiver,1,2,22
1,3,NA_x,NA,x,"[['some', 'all'], ['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,23
1,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,24
1,3,101_1,101,1,[],producer,2,3,17
1,3,100_3,100,3,[],producer,2,4,18
1,3,010_1,10,1,[],producer,2,1,19
1,3,001_1,1,1,[],receiver,2,1,20
1,3,011_3,11,3,[],receiver,2,4,21
1,3,100_2,100,2,[],receiver,2,3,22
1,3,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,23
1,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,24
1,3,010_3,10,3,[],producer,3,4,17
1,3,001_2,1,2,[],producer,3,1,18
1,3,100_2,100,2,[],producer,3,2,19
1,3,101_1,101,1,[],receiver,3,2,20
1,3,001_2,1,2,[],receiver,3,1,21
1,3,011_2,11,2,[],receiver,3,4,22
1,3,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,23
1,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,24
1,3,011_1,11,1,[],producer,4,1,17
1,3,011_3,11,3,[],producer,4,2,18
1,3,011_2,11,2,[],producer,4,3,19
1,3,010_3,10,3,[],receiver,4,3,20
1,3,100_3,100,3,[],receiver,4,2,21
1,3,001_3,1,3,[],receiver,4,1,22
1,3,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,23
1,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,24
1,4,011_1,11,1,[],producer,1,2,25
1,4,100_1,100,1,[],producer,1,3,26
1,4,011_2,11,2,[],producer,1,4,27
1,4,101_1,101,1,[],receiver,1,4,28
1,4,010_1,10,1,[],receiver,1,3,29
1,4,011_3,11,3,[],receiver,1,2,30
1,4,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,31
1,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,32
1,4,001_2,1,2,[],producer,2,3,25
1,4,110_3,110,3,[],producer,2,4,26
1,4,011_3,11,3,[],producer,2,1,27
1,4,011_1,11,1,[],receiver,2,1,28
1,4,100_3,100,3,[],receiver,2,4,29
1,4,101_1,101,1,[],receiver,2,3,30
1,4,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,31
1,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,32
1,4,111_1,111,1,[],producer,3,4,25
1,4,010_1,10,1,[],producer,3,1,26
1,4,101_1,101,1,[],producer,3,2,27
1,4,001_2,1,2,[],receiver,3,2,28
1,4,100_1,100,1,[],receiver,3,1,29
1,4,111_2,111,2,[],receiver,3,4,30
1,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,31
1,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,32
1,4,101_1,101,1,[],producer,4,1,25
1,4,100_3,100,3,[],producer,4,2,26
1,4,111_2,111,2,[],producer,4,3,27
1,4,111_1,111,1,[],receiver,4,3,28
1,4,110_3,110,3,[],receiver,4,2,29
1,4,011_2,11,2,[],receiver,4,1,30
1,4,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,31
1,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,32
1,5,010_1,10,1,[],producer,1,2,33
1,5,111_1,111,1,[],producer,1,3,34
1,5,010_3,10,3,[],producer,1,4,35
1,5,110_2,110,2,[],receiver,1,4,36
1,5,110_1,110,1,[],receiver,1,3,37
1,5,100_1,100,1,[],receiver,1,2,38
1,5,NA_x,NA,x,"[['some', 'all'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,39
1,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,40
1,5,011_2,11,2,[],producer,2,3,33
1,5,010_2,10,2,[],producer,2,4,34
1,5,100_1,100,1,[],producer,2,1,35
1,5,010_1,10,1,[],receiver,2,1,36
1,5,101_2,101,2,[],receiver,2,4,37
1,5,011_2,11,2,[],receiver,2,3,38
1,5,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,39
1,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,40
1,5,101_3,101,3,[],producer,3,4,33
1,5,110_1,110,1,[],producer,3,1,34
